"Advanced configuration","Configuration avancée"
"Colissimo information for DDP","Information Colissimo pour DDP"
"Extra information needed for Colissimo DDP delivery methods","Informations supplémentaires nécessaires pour les méthodes de livraison Colissimo DDP"
"Generic description of articles in English","Description générique des articles en anglais"
"Package length (cm)","Longueur du colis (cm)"
"Package width (cm)","Largeur du colis (cm)"
"Package height (cm)","Hauteur du colis (cm)"
"Save DDP data","Sauvegarder les données DDP"
"Shipping address:","Adresse de livraison :"
"Tracking number: <a href=""%trackinglink"" target=""_blank"">%tracknb</a>.","Numéro de suivi : <a href=""%trackinglink"" target=""_blank"">%tracknb</a>."
"The mobile number for a Belgian destination must start with +324 and be 12 characters long. For example +324XXXXXXXX","Le numéro de mobile pour une destination Belge doit commencer par +324 et être long de 12 caractères. Par exemple +324XXXXXXXX"
"The insurance value has been lowered to the maximum value authorized for this sending method: %s","Le montant de l'assurance a été réduit au montant maximum autorisé pour cette méthode d'expédition : %s"
"Insurance is not available for this country and/or shipping method","L'assurance n'est pas disponible pour ce pays et / ou cette méthode d'expédition"
"Shipping method changed to %1$s for %2$d orders.","Méthode d'expédition changée pour %1$s sur %2$d commandes."
"Ship with: Colissimo Domicile without signature","Livrer avec : Colissimo Domicile sans signature"
"Ship with: Colissimo Domicile with signature","Livrer avec : Colissimo Domicile avec signature"
"Ship with: Colissimo Domicile with signature - DDP Option","Livrer avec : Colissimo Domicile avec signature - Option DDP"
"Shipping method changed to %1$s for %2$d orders.","Méthode de livraison changée pour %1$s sur %2$d commandes."
"The order #%1$d cannot be shipped with %2$s","La commande #%1$d ne peut pas être livrée avec %2$s"
"The order #%d was made to be shipped to a relay point, make sure to change its shipping address!","La commande #%d était prévue pour être livrée vers un point de retrait, assurez-vous de changer son adresse de livraison !"
"Colissimo support","Support Colissimo"
"Module support","Support du module"
"Error generating outward label:","Erreur de génération d'étiquette aller :"
"Error generating inward label:","Erreur de génération d'étiquette retour :"
"Order status when order is partially shipped","Statut des commandes quand la commande est partiellement expédiée"
"Order status to apply after successful label generation for partial shipping.","Statut de la commande à appliquer après la génération de l'étiquette pour une expédition partielle."
"Colissimo Partial Expedition","Colissimo Expédition partielle"
"Order status to apply after successful final label generation (be sure to use a status with COMPLETE state)","Statut de la commande à appliquer après la génération de l'étiquette finale (veillez à utiliser un statut avec l'état COMPLET)"
"Save insurance amount","Sauvegarder le montant d'assurance"
"Colissimo insurance","Assurance Colissimo"
"Personalized amount of insurance","Montant personnalisé de l'assurance"
"Use Colissimo Insurance for outward label?","Utiliser l'assurance Colissimo pour les étiquettes aller ?"
"If enabled, each outward label generation will use Colissimo Insurance feature by default.","Si activé, les étiquettes aller automatiquement générées utiliseront l'assurance Colissimo."
"Use Colissimo Insurance for inward label?","Utiliser l'assurance Colissimo pour les étiquettes retour ?"
"If enabled, each inward label generation will use Colissimo Insurance feature by default.","Si activé, les étiquettes retour automatiquement générées utiliseront l'assurance Colissimo."
"Automatically select the nearest relay point","Sélectionner automatiquement le point de retrait le plus proche"
"When the user selects the relay method during the checkout, it will automatically propose a relay point based on the shipping address","Lorsque l'utilisateur sélectionne la méthode en point de retrait lors du tunnel de commande, un point de retrait est automatiquement proposé basé sur l'adresse de livraison"
"Choose my relay","Choisir mon point de retrait"
"Closest pickup point:","Point de retrait le plus proche :"
"La Poste Colissimo number of parcels","Nombre de colis La Poste Colissimo"
"La Poste Colissimo parcel number","Numéro de colis La Poste Colissimo"
"La Poste Colissimo shipping type","Type de colis La Poste Colissimo"
"Colissimo Multi Parcels","Colissimo Multi colis"
"Use the multi-parcels shipping","Utiliser l'envoi multi colis"
"Number of parcels","Nombre de colis"
"Save multi parcels data","Sauvegarder les données du multi colis"
"Incorrect number of parcels","Nombre de colis incorrect"
"All labels have already been generated","Toutes les étiquettes ont déjà été générées"
"Colissimo Widget","Widget Colissimo"
"Google Maps (requires an API key)","Google Maps (requiert une clé d'API)"
"Open Street Maps (free)","Open Street maps (gratuit)"
"The shipping costs must not be free for the customs declaration to be valid.","Les frais de livraison ne doivent pas être gratuits pour que la déclaration de douanes soit valide."
"Use Colissimo Insurance?","Utiliser l'assurance Colissimo ?"
"Video tutorials","Tutoriels vidéos"
"General presentation of the module","Présentation générale du module"
"Shipping methods configuration","Configuration des méthodes d'expédition"
"Labels generation","Génération des étiquettes"
"Order with Colissimo pickup point","Commander avec Colissimo en point de retrait"
"Orders with customs declaration","Commandes avec déclaration de douanes"
"Multi-parcels shipment","Envoi multi colis"
"Multi-parcels shipment for overseas","Envoi multi colis pour l'outre-mer"
"Tracking parcels","Suivi des colis"
"Delivery Dupy Paid (DDP)","Droits de livraison acquittés (DDP)"
"Delivery slip","Bordereau de livraison"
"Parcels returnal","Retour des colis"
"Display on map","Afficher sur la carte"
"Maximum number of displayed relays","Nombre maximum de points de retrait affichés"
"Only applicable for map type other than Colissimo widget","Uniquement applicable pour les types de carte autres que le widget Colissimo"
"Display more pickup points","Afficher plus de points de retrait"
"Default display in mobile","Affichage par défaut sur mobile"
"When the user is on a mobile device with GoogleMaps or Leaflet, the default display can be the list of relays or the map and the list.","Lorsque l'utilisateur est sur un appareil mobile avec GoogleMaps ou Leaflet, l'affichage par défaut peut être la liste des points de retrait ou la carte et la liste."
"Map and list","Carte et liste"
"List only","Liste uniquement"
"We have detected that you have not yet signed the latest version of our GTC. Your consent is necessary in order to continue using Colissimo services. We therefore invite you to sign them on your Colissimo entreprise space, by clicking on the link below:","Nous avons détecté que vous n’avez pas encore signé la dernière version de nos CGV. Votre consentement est nécessaire afin de pouvoir continuer à utiliser les services Colissimo. Nous vous invitons donc à les signer sur votre espace Colissimo entreprise, en cliquant sur le lien ci-dessous :"
"Sign the GTC","Signer les CGV"
"Colissimo module version","Version du module Colissimo"
"Number of CN23 documents to generate","Nombre de documents CN23 à générer"
"Please enter a number between 1 and 4","Veuillez entrer un nombre entre 1 et 4"
"Download full log","Télécharger le log complet"
"Download","Télécharger"
"CN23 print format","Format d'impression du document CN23"
"PDF office printing, dimension A4 and resolution of 300dpi","PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi"
"PDF office printing, dimension 10cm x 15cm, and resolution of 300dpi","PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi"
"PDF office printing, dimension 10cm x 12cm, and resolution of 300dpi","PDF format 10x12cm : impression bureautique en PDF, de dimension 10cm par 12cm, et de résolution 300dpi"
"PDF office printing, dimension 10cm x 10cm, and resolution of 300dpi","PDF format 10x10cm : impression bureautique en PDF, de dimension 10cm par 10cm, et de résolution 300dpi"
"Export","Exporter"
"Export items","Exporter les éléments"
"Import prices","Importer des prix"
"Import CSV file","Importer le fichier CSV"
"Prices import","Import de prix"
"Import","Import"
"Would you like to help us improve our module by answering our questionnaire?<br /> If so, go to <a href=""%1"">the Module feedback part of our configuration page</a>.","Souhaitez-vous nous aider à améliorer notre module en répondant à notre questionnaire ?<br /> Si oui, rendez-vous dans <a href=""%1""> Retours sur le module de notre page de configuration</a>."
"Module feedback","Retours sur le module"
"If not, don't remind me.","Si non, ne plus afficher."
"Shipping notes","Notes de livraison"
"Cart %1 doesn't contain products","Le panier %1 ne contient pas de produit"
"Shipping information for Colissimo","Informations de livraison pour Colissimo"
"Return labels for International shipments are only available in PDF A4 format and will ignore this option.","Les étiquettes retour pour les envois internationaux sont uniquement disponibles au format PDF A4 et ignoreront cette option."
"Only post offices are available for this order","Seuls les bureaux de poste sont disponibles pour cette commande"
"Module setup","Mise en place du module"
"Not yet registered on Colissimo?","Pas encore enregistré sur Colissimo ?"
"Here is how to do it:","Voici comment faire :"
"To register for the <a target=""_blank"" href=""%1$s"">Colissimo Facilité</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to create an account and receive your ids within a few days.","Pour vous inscrire à l'option <a target=""_blank"" href=""%1$s"">Colissimo Facilité</a>, remplissez <a target=""_blank"" href=""%2$s"">ce formulaire de contact commercial</a> pour créer un compte et recevoir vos identifiants en quelques jours."
"To register for the <a target=""_blank"" href=""%1$s"">Colissimo Privilège</a> option, fill <a target=""_blank"" href=""%2$s"">this commercial contact form</a> to be contacted by a sales representative.","Pour vous inscrire à l'option <a target=""_blank"" href=""%1$s"">Colissimo Privilège</a>, remplissez <a target=""_blank"" href=""%2$s"">ce formulaire de contact commercial</a> pour être contacté par un commercial."
"Already registered on Colissimo?","Déjà enregistré sur Colissimo ?"
"Here is how to configure your module:","Voici comment configurer votre module :"
"I associate my account to the Colissimo module","J'associe mon compte au module Colissimo"
"To connect the module, you must enter your Colissimo credentials in %s of this page.","Pour connecter le module, vous devez entrer vos identifiants Colissimo dans %s de cette page."
"the ""General configuration"" section","la section ""Configuration générale"""
"The User Name must be the one you use to connect to <a target=""_blank"" href=""%s"">Colissimo Entreprise</a>.","L'identifiant doit être celui que vous utilisez pour vous connecter à <a target=""_blank"" href=""%s"">Colissimo Entreprise</a>."
"I configure my settings to simplify my shipping preparations thanks to Colissimo features","Je configure mes paramètres pour simplifier mes préparations d'expédition grâce aux fonctionnalités Colissimo"
"Activate <a href=""%s"" target=""_blank"">the Colissimo shipping methods</a>, and customize their names for your customers","Activez <a href=""%s"" target=""_blank"">les méthodes de livraison Colissimo</a>, et personnalisez leurs noms pour vos clients"
"%s of your labels under the ""Labels"" section","%s de vos étiquettes dans la section ""Etiquettes"""
"Choose the format","Choisissez le format"
"Enter %s for your shipments outside the European Union","Entrez %s pour vos envois hors Union Européenne"
"your customs formalities","vos formalités douanières"
"I make sure the Magento settings are complete","Je m'assure que les paramètres Magento sont complets"
"Enter <a target=""_blank"" href=""%s"">your origin address</a> to be able to generate labels","Entrez <a target=""_blank"" href=""%s"">votre adresse d'origine</a> pour pouvoir générer des étiquettes"
"All the products must have a weight configured","Tous les produits doivent avoir un poids configuré"
"The products may have a custom HS code and country of manufacture, or you can setup default values with the customs options","Les produits peuvent avoir un code SH et un pays de fabrication personnalisés, ou vous pouvez configurer des valeurs par défaut avec les options de douane"
"I configure my shipping rates","Je configure mes tarifs de livraison"
"Head to <a target=""_blank"" href=""%s"">the Colissimo prices page</a>","Rendez-vous sur <a target=""_blank"" href=""%s"">la page des tarifs Colissimo</a>"
"The Colissimo module automatically creates its rules based on the current prices","Le module Colissimo crée automatiquement ses règles en fonction des tarifs actuels"
"You can customize the shipping prices of the delivery solutions for your customers","Vous pouvez personnaliser les tarifs de livraison des solutions de livraison pour vos clients"
"Beware: Colissimo doesn't handle parcels over 30kg. Be careful about the weight unit and when you modify the weight ranges.","Attention : Colissimo ne gère pas les colis de plus de 30kg. Soyez attentif à l'unité de poids et lorsque vous modifiez les plages de poids."
"Need help?","Besoin d'aide ?"
"You can also contact the Colissimo support by phone at %1$s or the technical support by email at %2$s","Vous pouvez également contacter le support Colissimo par téléphone au %1$s ou le support technique par email à %2$s"
"Colissimo International (Deprecated)","Colissimo International (Obsolète)"
"Colissimo International - DDP Option (Deprecated)","Colissimo International - Option DDP (Obsolète)"
"The ""Colissimo International"" method is deprecated, it is strongly recommended to <a href=""%s"">disable it</a> and replace it with the ""Colissimo with signature"" method.","La méthode ""Colissimo International"" est obsolète, il est fortement recommandé de <a href=""%s"">la désactiver</a> et de la remplacer par la méthode ""Colissimo avec signature""."
"You can export then import <a href=""%s"">your price ranges</a> during this modification, the rates remain the same.","Vous pouvez exporter puis importer <a href=""%s"">votre grille des prix</a> lors de ce changement, les tarifs restent les mêmes."
"Sending service for Austria","Service d'envoi pour l'Autriche"
"Sending service for Germany","Service d'envoi pour l'Allemagne"
"Sending service for Italy","Service d'envoi pour l'Italie"
"Sending service for Luxembourg","Service d'envoi pour le Luxembourg"
"If cart weight is higher than 20 kg, only post office relays will be available.","Si le poids du panier est supérieur à 20 kg, seuls les points de retrait en bureau de poste seront disponibles."
"Calculate shipping cost from the cart price before applying coupons","Calculer le prix de la livraison avant que les codes promo ne soient appliqués"
"If enabled, the shipping cost will be calculated based on the cart price before the coupons are applied.","Si cette option est activée, les frais d’expédition seront calculés sur la base du prix du panier avant que les codes promos ne soient appliqués."
"The User Name of the parent account, if you are using an advanced Colissimo user or to add customs documents.","L'identifiant du compte parent, si vous utilisez un utilisateur avancé Colissimo ou pour ajouter des documents douaniers."
"Colissimo account","Compte Colissimo"
"Connection type","Type de connexion"
"Choose how you want to connect to Colissimo services.","Choisissez comment vous souhaitez vous connecter aux services Colissimo."
"Web services application key","Clé de connexion aux Web Services"
"An API key is required to get relay points","Une clé d'API est nécessaire pour obtenir les points de retrait"
"Login and password required to get relay points","Identifiant et mot de passe requis pour obtenir les points de retrait"
"User name","Identifiant"
"Set secured code during delivery","Paramétrer le code sécurisé à la livraison"
"To benefit from the secured code during delivery, you must contact your Colissimo advisor and they will activate it for you. This option will be visible in your Colissimo Box enterprise space.","Pour profiter du code sécurisé à la livraison, vous devez vous rapprocher de votre commercial qui se chargera de l'activer pour vous. Cette option sera visible depuis votre espace entreprise dans la Colissimo Box."
"Activate blocking code","Activer code bloquant"
"The client will receive a code that they will need to give to the delivery man to receive their parcel.","Le client recevra un code qu'il devra remettre au livreur afin de recevoir son colis."
"Save blocking code status","Enregistrer le statut du code bloquant"
"Outward labels","Etiquettes aller"
"Secured shipping","Livraison sécurisée"
"This parcel will be delivered via a secure service requiring a code. The code will be sent to the customer by email the day before delivery or by SMS on the morning of delivery, and must be given to the delivery person in order to receive the parcel. You can deactivate this option if you do not want secure delivery using a code.","Ce colis sera livré via un service sécurisé nécessitant un code. Le code sera envoyé au client par email la veille de la livraison ou par SMS le matin de la livraison, et devra être communiqué au livreur pour recevoir le colis. Vous pouvez désactiver cette option si vous ne souhaitez pas une livraison sécurisée par code."
"Please note: If you have not provided the recipient's email address and telephone number, the code cannot be sent to the recipient and will block delivery of the parcel.","À noter : Si vous n'avez pas fourni l'email et le numéro de téléphone du destinataire, le code ne pourra pas être transmis au destinataire et bloquera la remise du colis."
"Services settings","Paramétrage des services"
"Choose %s best matching your needs.","Choisissez %s correspondant le mieux à vos besoins."
"the contract","le contrat"
"Minimum order value for the secured code","Valeur minimale de commande pour le code sécurisé"
"Maximum order value for the secured code","Valeur maximale de commande pour le code sécurisé"
"The secured code will only be activated for orders over the given value.","Le code sécurisé ne sera activé que pour les commandes dont la valeur est supérieure à la valeur donnée."
"The secured code will only be activated for orders under the given value. Keep empty to disable this limitation.","Le code sécurisé ne sera activé que pour les commandes dont la valeur est inférieure à la valeur donnée. Laissez vide pour désactiver cette limitation."
"Number of days during which the customers can download the return label","Nombre de jours pendant lesquels les clients peuvent télécharger l’étiquette de retour"
"Choose the products to return","Sélectionnez les produits à retourner"
"Select all products","Sélectionner tous les produits"
"Please select at least one product.","Veuillez sélectionner au moins un produit."
"Generate a QR Code that your customers can scan at the post office to print a label. This format is used to secure the return parcel. This option requires activation of the service in your Colissimo customer area.","Générer un QR Code permettant à vos clients de le scanner en bureau de Poste pour imprimer une étiquette. Ce format sert à sécuriser le dépôt du colis retour. Cette option est conditionnée à l'activation du service dans votre espace client Colissimo."
"Activate service","Activer le service"
"Quantity to return exceeding quantity ordered","La quantité à retourner est supérieure à la quantité commandée"
"Activate secured return","Activer le retour sécurisé"
"Return products","Retourner des produits"
"Shipping labels have been generated.","Les étiquettes de livraison ont été générées."
"Return from a post office","Retour depuis un bureau de poste"
"Shipment Date","Date de l'expédition"
"Your secured code for the return label %s has been generated.","Votre code sécurisé pour l'étiquette retour %s a bien été généré."
"If the secured return is enabled, only your customers will be able to generate return labels.","Si le retour sécurisé est activé, seuls vos clients pourront générer des étiquettes de retour."
"You cannot generate return labels while the secured return is active, only customers can generate them from their account.","Vous ne pouvez pas générer d'étiquettes de retour tant que le retour sécurisé est actif, seuls les clients peuvent les générer depuis leur compte."
"No labels found.","Aucune étiquette trouvée."
"HS code attribute","Attribut du code SH"
"Choose the product attribute containing the HS code to use in customs declaration.","Choisissez l'attribut produit contenant le code SH à utiliser dans la déclaration de douanes."
"Colissimo attribute","Attribut Colissimo"
"Extra cost for French overseas","Surcoût à appliquer pour les DOM-TOM"
"Only Post offices","Uniquement les bureaux de Poste"
"All relays","Tous les points"
"Only Pickup points","Uniquement les points Pickup"
"Only Pickup partner stores","Uniquement les relais commerçants Pickup"
"Only Post offices and Pickup partner stores","Uniquement les bureaux de Poste et les relais commerçants Pickup"
"All relays without Pickup lockers","Tous les points sans les consignes Pickup"
"All relays without Neighbor-relays Pickme","Tous les points sans les voisins-relais Pickme"
"Types of displayed relays","Types de points de retrait affichés"
"Colissimo Box / Labels and packagings","Colissimo Box/Etiquettes et emballages"
"For your postage needs, order your labels in rolls or boxes directly from your dedicated space %s, and enjoy the best prices and quality standards on the market.","Pour vos affranchissements, commandez directement vos étiquettes en rouleau ou en boîte sur votre espace dédié %s, et bénéficiez des meilleurs prix et standards de qualité du marché."
"Your contract information","Vos informations de contrat"
"Contract type:","Type de contrat :"
"Return in mailbox option:","Option retour en boîte aux lettres :"
"Return in post office option:","Option retour en bureau de poste :"
"Secured return option:","Option retour sécurisé :"
"Secured shipping option:","Option livraison sécurisée :"
"Out-of-home contract type:","Type de contrat hors domicile :"
"Pickup neighbor-relay option:","Option voisins relais :"
"Estimated shipping date option:","Option date de livraison estimée :"
"Activated","Activé"
"Deactivated","Désactivé"
"No account information available.","Aucune information de compte disponible."
"Product categories","Catégories de produit"
"All categories","Toutes les catégories"
"EORI number","Numéro EORI"
"United Kingdom EORI number","Numéro EORI Royaume-Uni"
"EORI number for delivery to United Kingdom","Numéro EORI pour les livraisons au Royaume-Uni"
"Your label %s has been generated.","Votre étiquette %s a été générée."
"How to return your parcel?","Comment retourner votre colis ?"
"Pack your products.","Emballez vos produits."
"Print your label and stick it on your parcel.","Imprimez votre étiquette et collez-la sur votre colis."
"Drop off your parcel at the post office of your choice:","Déposez votre colis au bureau de poste de votre choix :"
"Track your parcel shipment on %s","Suivez la livraison de votre colis sur %s"
"Documentation","Documentation"
"Your Colissimo deposit places:","Vos lieux de dépôt Colissimo :"
"Mimosa option:","Option Mimosa :"
"Sending service for Belgium","Service d’envoi pour la Belgique"
"Download FR","Télécharger FR"
"Download EN","Télécharger EN"
"None","Aucune"
"Category A - CLP hazardous product","Catégorie A - Produit dangereux au titre du CLP"
"Category B - ADR/GPE 2 hazardous product","Catégorie B - Produit dangereux ADR/GPE 2"
"Category C - ADR/GPE 3 hazardous product","Catégorie C - Produit dangereux ADR/GPE 3"
"Category D - Cosmetic hazardous product","Catégorie D - Produit dangereux cosmétique"
"Category E - Other derogated sensitive product","Catégorie E - Autre produit sensible dérogé"
"Colissimo hazmat category","Catégorie de matières dangereuses Colissimo"
"Default Colissimo hazmat category","Catégorie de matières dangereuses Colissimo par défaut"
"Add the extra cost to shipping price","Répercuter le surcoût sur le prix de livraison"
"The clients will pay the extra cost for hazardous materials along with the shipping price.","Les clients paieront le surcoût pour les matières dangereuses en même temps que le prix de livraison."
"The hazmat option lets you specify which parcel contains hazardous materials, ensuring that your goods are protected and safe during all the shipment.","L'option matières dangereuses vous permet de spécifier quel colis contient des matières dangereuses, garantissant que vos marchandises sont protégées et en sécurité pendant toute la durée de l'expédition."
"There are a total of 5 categories of hazardous materials that can be specified on your products and/or product categories. The categories are as follows:","Il existe un total de 5 catégories de matières dangereuses qui peuvent être spécifiées sur vos produits et/ou catégories de produits. Les catégories sont les suivantes :"
"Category","Catégorie"
"Maximum quantity per parcel","Quantité maximale par colis"
"Extra cost","Surcoût"
"Hazardous materials are not allowed for return parcels.","Les matières dangereuses ne sont pas autorisées pour les colis de retour."
"Hazardous materials %1$s exceed the maximum allowed weight: %2$d/%3$dg.","Les matières dangereuses %1$s dépassent le poids maximum autorisé : %2$d/%3$dg."
"The total amount of hazardous materials exceeds the maximum allowed weight of %dg.","Le poids total des matières dangereuses dépasse le poids maximum autorisé de %dg."
"Please ship this order in multiple parcels.","Veuillez expédier cette commande en plusieurs colis."
"Hazardous materials feature:","Fonctionnalité matières dangereuses :"
"Hazardous materials","Matières dangereuses"
"United States EORI number","Numéro EORI États-Unis"
"EORI number for delivery to United States","Numéro EORI spécifique pour les livraisons en direction des États-Unis"
"MID code for USA","Code MID pour les États-Unis"
"The MID code is used by the USA customs to track where a product comes from. It is required and can be found by following %1.","Le code MID est utilisé par les douanes américaines pour tracer l’origine d’un produit. Il est obligatoire et peut être trouvé en suivant <a href=""https://www.fedex.com/fr-fr/customer-support/faq/customs/customs-codes/how-to-generate-mid-code.html"" target=""_blank"">le guide Fedex</a>."
"Checkout page","Tunnel de commande"
"Default","Par défaut"
"Text size","Taille du texte"
"Text font","Police du texte"
"Text color","Couleur du texte"
"Text to display","Texte à afficher"
"Please include {date} in your text where the date should be shown.","Veuillez inclure {date} dans votre texte à l’endroit où la date doit être affichée."
"Date format","Format de la date"
"Cut Off hours","Heures limites de dépôt"
"Deposit location","Lieu de dépôt"
"Select the location used to deposit your parcels.","Sélectionnez le lieu utilisé pour déposer vos colis."
"Display the expected delivery date","Afficher la date de livraison prévue"
"Choose to add the expected delivery date below the method name in the checkout.","Choisissez d’ajouter la date de livraison prévue sous le nom de la méthode dans le tunnel de commande."
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thursday","Jeudi"
"Friday","Vendredi"
"Saturday","Samedi"
"Sunday","Dimanche"
"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"
"l, F j","l j F"
"F j","j F"
"M j","j M"
"Delivery expected on {date}","Livraison prévue le {date}"
"Weekly Schedule","Horaire hebdomadaire"
"Exceptions","Exceptions"
"Day","Jour"
"Add Exception","Ajouter une exception"
"Cutt Off times for orders processing","Heures limites pour le traitement des commandes"
"No shipment this day","Aucun envoi ce jour"
"The login/password connexion type will be removed during 2026 in favor of application key authentication, to increase the security of your account. To avoid any interruption in your deliveries, make sure to generate an application key from the edit page of your %s account then enter it in the ""General configuration"" section of the advanced Colissimo settings.","Le type de connexion identifiant/mot de passe sera supprimé courant 2026 au profit de l'authentification par clé de connexion, en vue d'augmenter la sécurité de votre compte. Afin d'éviter toute interruption de vos livraisons, assurez-vous de générer une clé de connexion depuis la page d'édition de votre compte %s puis de l'entrer dans la section ""Configuration générale"" des réglages avancés Colissimo."
"Hazardous materials are not allowed outside France.","Les matières dangereuses ne sont pas autorisées en dehors de la France."
